date,new_confirmed,new_untracked,new_no_paths,is_holiday,is_weekend,gov_policy
2020-01-24,1,0,,1,1,0
2020-01-25,0,0,0.0,1,1,0
2020-01-26,0,0,0.0,1,1,0
2020-01-27,0,0,0.0,0,0,0
2020-01-28,0,0,0.0,0,0,0
2020-01-29,0,0,0.0,0,0,0
2020-01-30,3,0,1.0,0,0,0
2020-01-31,3,0,2.0,0,1,0
2020-02-01,0,0,0.0,0,1,0
2020-02-02,1,0,0.0,0,1,0
2020-02-03,0,0,0.0,0,0,0
2020-02-04,0,0,0.0,0,0,0
2020-02-05,2,0,0.0,0,0,0
2020-02-06,1,0,0.0,0,0,0
2020-02-07,1,0,0.0,0,1,0
2020-02-08,0,0,0.0,0,1,0
2020-02-09,0,0,0.0,0,1,0
2020-02-10,0,0,0.0,0,0,0
2020-02-11,0,0,0.0,0,0,0
2020-02-12,0,0,0.0,0,0,0
2020-02-13,0,0,0.0,0,0,0
2020-02-14,0,0,0.0,0,1,0
2020-02-15,0,0,0.0,0,1,0
2020-02-16,2,0,2.0,0,1,0
2020-02-17,0,0,0.0,0,0,0
2020-02-18,0,0,0.0,0,0,0
2020-02-19,2,0,2.0,0,0,0
2020-02-20,5,0,4.0,0,0,0
2020-02-21,2,0,2.0,0,1,0
2020-02-22,4,0,2.0,0,1,0
2020-02-23,4,0,1.0,0,1,0
2020-02-24,4,0,1.0,0,0,0
2020-02-25,16,6,8.0,0,0,0
2020-02-26,10,1,1.0,0,0,0
2020-02-27,13,2,4.0,0,0,0
2020-02-28,8,2,3.0,0,1,0
2020-02-29,5,0,1.0,0,1,0
2020-03-01,6,0,2.0,1,1,0
2020-03-02,6,2,0.0,0,0,0
2020-03-03,1,0,1.0,0,0,0
2020-03-04,5,1,1.0,0,0,0
2020-03-05,1,1,0.0,0,0,0
2020-03-06,7,0,4.0,0,1,0
2020-03-07,7,0,5.0,0,1,0
2020-03-08,10,0,3.0,0,1,0
2020-03-09,26,3,1.0,0,0,0
2020-03-10,46,0,3.0,0,0,0
2020-03-11,17,4,0.0,0,0,0
2020-03-12,12,1,1.0,0,0,0
2020-03-13,9,1,1.0,0,1,0
2020-03-14,8,1,3.0,0,1,0
